point_id,lon,lat,worldcover_raw_code,worldcover_suggested_label,verified_label,google_maps_check_link,dryseason_blue,dryseason_green,dryseason_red,dryseason_rededge,dryseason_nir,dryseason_swir1,dryseason_swir2,ndvi_s1_land_prep_mar_apr,ndvi_s2_early_growth_may_jun,ndvi_s3_peak_growth_jun_sep,ndvi_s4_maturity_sep_oct,ndvi_s5_postharvest_dec_jan,ndvi_amplitude
0,8.592894652987013,7.8403361389407,20,vegetation_forest,,"https://www.google.com/maps/@7.8403361389407,8.592894652987013,17z/data=!3m1!1e3",0.05339999869465828,0.08585000038146973,0.12349999696016312,0.15710000693798065,0.2442999929189682,0.34744998812675476,0.2700499892234802,0.2098943144083023,0.32468897104263306,0.6453437209129333,,0.3284393548965454,0.43544942140579224
1,8.716053678439806,7.995924346150204,10,vegetation_forest,,"https://www.google.com/maps/@7.995924346150204,8.716053678439806,17z/data=!3m1!1e3",0.00795000046491623,0.032999999821186066,0.026850000023841858,0.09200000017881393,0.27900001406669617,0.1839500069618225,0.10119999945163727,0.4417870044708252,0.9040042161941528,0.7845425009727478,0.7914547324180603,0.8244237303733826,0.46221721172332764
2,8.684343148910386,7.946247510938392,30,vegetation_forest,,"https://www.google.com/maps/@7.946247510938392,8.684343148910386,17z/data=!3m1!1e3",0.06449999660253525,0.10480000078678131,0.147599995136261,0.21130000054836273,0.3140000104904175,0.3982999920845032,0.29760000109672546,0.25731101632118225,0.406801700592041,0.5768947601318359,0.4989023506641388,0.3604852855205536,0.3195837438106537
3,8.816036169562295,7.832430964440448,30,vegetation_forest,,"https://www.google.com/maps/@7.832430964440448,8.816036169562295,17z/data=!3m1!1e3",0.0333000011742115,0.06975000351667404,0.09175000339746475,0.14665000140666962,0.23115000128746033,0.26429998874664307,0.16785000264644623,0.1735287606716156,0.47160178422927856,0.7207356095314026,0.8010305166244507,0.4317125976085663,0.6275017261505127
4,8.71937744499104,7.992241253485318,20,vegetation_forest,,"https://www.google.com/maps/@7.992241253485318,8.71937744499104,17z/data=!3m1!1e3",0.05660000070929527,0.0934000015258789,0.13660000264644623,0.18240000307559967,0.2750000059604645,0.37940001487731934,0.28040000796318054,0.17403681576251984,0.6699453592300415,0.6987237334251404,,0.3362487852573395,0.5246869325637817
5,8.602506626527088,7.91040473110202,30,vegetation_forest,,"https://www.google.com/maps/@7.91040473110202,8.602506626527088,17z/data=!3m1!1e3",0.07900000363588333,0.12540000677108765,0.19939999282360077,0.24130000174045563,0.32829999923706055,0.46459999680519104,0.37689998745918274,0.1261763870716095,0.26547229290008545,,0.28070172667503357,0.24426759779453278,0.15452533960342407
6,8.768874617146025,7.8575837923958005,20,vegetation_forest,,"https://www.google.com/maps/@7.8575837923958005,8.768874617146025,17z/data=!3m1!1e3",0.05420000106096268,0.09000000357627869,0.11379999667406082,0.1606999933719635,0.25699999928474426,0.34529998898506165,0.2799000144004822,0.13786588609218597,0.4399999976158142,0.6379232406616211,,0.3861920237541199,0.5000573396682739
7,8.763215230856076,7.995834514621791,10,vegetation_forest,,"https://www.google.com/maps/@7.995834514621791,8.763215230856076,17z/data=!3m1!1e3",0.02410000003874302,0.05959999933838844,0.0677499994635582,0.1311500072479248,0.28439998626708984,0.28459998965263367,0.17980000376701355,0.2859325706958771,0.6598016619682312,0.7280616760253906,,0.6152207851409912,0.44212910532951355
8,8.778037433044062,7.753199556381105,30,vegetation_forest,,"https://www.google.com/maps/@7.753199556381105,8.778037433044062,17z/data=!3m1!1e3",0.05654999986290932,0.09210000187158585,0.125,0.14055000245571136,0.17874999344348907,0.30239999294281006,0.270550012588501,0.16509029269218445,0.29221436381340027,0.48177602887153625,0.6162315607070923,0.1769547164440155,0.45114126801490784
9,8.713358732587437,7.991432769729613,10,vegetation_forest,,"https://www.google.com/maps/@7.991432769729613,8.713358732587437,17z/data=!3m1!1e3",0.03604999929666519,0.07609999924898148,0.09260000288486481,0.14429999887943268,0.3113499879837036,0.2692500054836273,0.18170000612735748,0.3286861181259155,0.6868008971214294,0.7143203020095825,0.6722262501716614,0.5415273904800415,0.385634183883667
